# Size,Latency (us)
1,7.31
2,7.29
4,7.29
8,7.30
16,7.31
32,7.34
64,7.81
128,7.86
256,7.92
512,8.02
1024,8.14
2048,8.41
4096,9.50
8192,10.48
16384,11.60
32768,13.28
65536,16.51
131072,22.70
262144,37.38
524288,66.29
1048576,125.67
2097152,246.63
