# Size,Latency (us)
0,1.67
1,1.67
2,1.67
4, 1.67
8, 1.68
16,1.68
32,1.79
64,1.92
128,1.95
256,2.07
512,2.14
1024,2.33
2048,2.78
4096,3.56
8192,4.30
16384,5.57
32768,7.42
65536,10.24
131072,15.71
262144,27.67
524288,48.92
1048576,91.77
2097152,176.75
