# Size,Latency (us)
1,16.40
2,16.42
4,16.47
8,16.48
16,16.45
32,16.47
64,17.69
128,17.85
256,18.00
512,16.39
1024,16.60
2048,17.27
4096,19.83
8192,28.40
16384,45.42
32768,79.05
65536,152.18
131072,297.92
262144,588.45
