# Size,Latency (us)
1,17.14
2,17.03
4,17.11
8,17.24
16,17.05
32,17.10
64,18.42
128,18.25
256,18.37
512,18.50
1024,18.82
2048,19.79
4096,22.83
8192,32.21
16384,50.94
32768,84.50
65536,157.07
131072,301.90
262144,591.34
524288,1168.93
1048576,2326.24
2097152,4643.70
