# Size,Latency (us)
1,5.15
2,5.28
4,5.28
8,5.28
16,5.30
32,5.29
64,5.91
128,5.98
256,5.45
512,5.49
1024,5.64
2048,5.91
4096,7.03
8192,8.12
16384,9.24
32768,10.92
65536,14.41
131072,21.10
262144,35.65
524288,64.87
1048576,124.35
2097152,244.34
