# Size,Latency (us)
1,16.33
2,16.34
4,16.44
8,16.47
16,16.46
32,16.46
64,17.73
128,17.80
256,18.02
512,16.42
1024,16.69
2048,17.31
4096,20.01
8192,28.50
16384,45.50
32768,79.43
65536,152.83
131072,299.27
262144,591.66
524288,1177.21
1048576,2347.34
2097152,4685.41
